-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,INSITUPUMPS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,INSITUPUMPS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,INSITUPUMPS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MAGNETOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MAGNETOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MAGNETOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MAGNETOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MAGNETOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MARINE SNOW CATCHER,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MARINE SNOW CATCHER,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MOCNESS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MOCNESS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MOORING,recovery_SMD_DV02_C04
