First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
36.7173567,-4.4175417,36.717365,-4.4175417,2024-07-03 17:00:00,2024-07-03 18:06:00,AUV,testing_dive
-19.0326867,7.4933817,-19.0326867,7.4933817,2025-03-20 07:20:00,2025-03-21 07:50:00,TRA,ICU01_Trampa_sedimentacion
-19.0326217,7.4937267,-19.0326217,7.4937267,2025-03-20 08:15:00,2025-03-20 09:45:00,CTD_ROS,ICU01_D_CTD+roseta
-19.0325533,7.4937617,-19.0325533,7.4937617,2025-03-20 10:42:00,2025-03-21 10:45:00,MSC,ICU01_SnowCatcher
-19.0323733,7.49261,-19.0323733,7.49261,2025-03-20 10:58:00,2025-03-20 11:15:00,RADIOMETRO,ICU01_radiometer
-19.0320383,7.49387,-19.0320383,7.49387,2025-03-20 11:57:00,2025-03-20 12:30:00,CTD_ROS,ICU01_S_CTD+roseta
-19.0320033,7.4937183,-19.0320033,7.4937183,2025-03-20 13:00:00,2025-03-20 14:00:00,NET,ICU01_Hydrobios_325_day
-19.031925,7.4931417,-19.031925,7.4931417,2025-03-20 14:30:00,2025-03-20 15:30:00,NET,ICU01_Hydrobios_50
-19.0317467,7.4932233,-19.0317467,7.4932233,2025-03-20 15:42:00,2025-03-20 17:15:00,CTD_ROS,ICU01_F_CTD+roseta
-19.0320267,7.4938967,-19.0320267,7.4938967,2025-03-20 18:20:00,2025-03-20 19:20:00,CTD_ROS,ICU01_P_CTD+roseta
-19.03181,7.4937717,-19.03181,7.4937717,2025-03-20 19:00:00,2025-03-20 19:30:00,NET,ICU01_WP2_1
-19.0317667,7.4937083,-19.0317667,7.4937083,2025-03-20 19:30:00,2025-03-20 19:45:00,NET,ICU01_WP2_2
-19.031755,7.4936517,-19.031755,7.4936517,2025-03-20 19:45:00,2025-03-20 20:15:00,NET,ICU01_WP2_3
-19.031775,7.4938483,-19.031775,7.4938483,2025-03-20 20:15:00,2025-03-20 20:45:00,NET,ICU01_WP2_4
-19.031755,7.493865,-19.031755,7.493865,2025-03-20 20:20:00,2025-03-21 01:35:00,TRA,ICU01_ISP
-19.0316017,7.4940817,-19.0316017,7.4940817,2025-03-21 01:40:00,2025-03-21 02:20:00,NET,ICU01_Hydrobios_325_nigth
-15.2564933,6.1160233,-15.2564933,6.1160233,2025-03-22 07:10:00,2025-03-22 19:20:00,TRA,ICU02_Trampa_Sedimentacion
-15.25631,6.1168733,-15.25631,6.1168733,2025-03-22 09:40:00,2025-03-22 10:10:00,CTD_ROS,ICU02_S_CTD+roseta
-15.255305,6.1167767,-15.255305,6.1167767,2025-03-22 10:27:00,2025-03-22 10:43:00,RADIOMETRO,ICU02_radiometer
-15.2564267,6.1165583,-15.2564267,6.1165583,2025-03-22 11:10:00,2025-03-23 10:00:00,MSC,ICU02_SnowCatcher
-15.2562383,6.1167733,-15.2562383,6.1167733,2025-03-22 12:10:00,2025-03-22 13:40:00,CTD_ROS,ICU02_D_CTD+roseta
-15.256145,6.116475,-15.256145,6.116475,2025-03-22 13:30:00,2025-03-22 14:30:00,NET,ICU02_Hydrobios_325_day
-15.25561,6.11742,-15.25561,6.11742,2025-03-22 15:30:00,2025-03-22 16:30:00,NET,ICU02_Hydrobios_50
