First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
2.1820428,41.3045375,2.2681869,41.372242,28-04-2021 19:01:43,28-04-2021 20:57:18,SVP,3_CTD-MoC_01
3.5193595,38.4596654,3.620767,40.1061951,29-04-2021 10:49:16,29-04-2021 13:06:07,SVP,6_CTD-MoC_02
1.1484295,37.8535952,1.1508506,37.8545192,30-04-2021 04:02:07,30-04-2021 06:13:20,XSV,8_CTD-MoC_03
1.1484295,37.8535952,1.1508506,37.8548546,30-04-2021 16:02:08,30-04-2021 18:17:01,XSV,11_CTD-MoC_04
-2.6504113,36.153325,-2.6337796,36.180933,01-05-2021 08:42:43,01-05-2021 10:32:52,XSV,13_CTD-MoC_05
-6.4655406,35.9423551,-2.7451346,36.1700905,01-05-2021 23:27:20,02-05-2021 00:32:35,XSV,15_CTD-MoC_06
-5.8590428,35.9607443,-5.8578201,35.9611019,02-05-2021 08:44:16,02-05-2021 09:12:25,TRA,17_CTD-MoC_07
-5.0410287,36.0450293,-4.9188874,36.0498204,02-05-2021 14:25:02,02-05-2021 15:11:35,TRA,19_CTD-MoC_08
-5.8165138,35.9588676,-5.6609011,35.9641131,02-05-2021 19:20:05,02-05-2021 20:18:50,TRA,21_CTD-MoC_09
-6.2155003,35.9598988,-6.0339371,35.96119,02-05-2021 22:17:58,02-05-2021 23:19:14,box_corer,23_BC_10_PERDIDA
-8.0870451,36.3431789,-7.7468841,36.9884901,03-05-2021 00:09:41,03-05-2021 01:09:25,MOC,24_CTD-MoC_11
-7.6451743,36.606305,-7.6441075,36.6087114,03-05-2021 03:15:22,03-05-2021 04:05:29,MOC,26_CTD_MoC_12
-7.7476206,36.8386018,-7.7469354,36.8393328,03-05-2021 07:39:34,03-05-2021 08:15:33,MOC,29_MC_13
-7.7734717,36.8872402,-7.7710301,36.8882025,03-05-2021 08:55:08,03-05-2021 09:39:58,CTD,30_CTD_MoC_14
-7.7723013,36.8373929,-7.7466688,36.887285,03-05-2021 19:18:04,03-05-2021 21:00:38,CTD_ROS_LADCP,32_CTD_MoC_15
-8.1854145,35.9672432,-7.7727946,36.9992352,03-05-2021 21:18:55,04-05-2021 02:08:19,XBT,33_MC_15
-8.3339775,36.0103559,-8.2944748,36.0279723,04-05-2021 15:09:50,04-05-2021 15:58:33,CTD,37_CTD_MoC_17
-8.6303104,36.0713056,-8.4524581,36.140537,04-05-2021 16:43:07,04-05-2021 17:39:50,gravity_corer,39_GC_18
-8.9150755,36.2266378,-8.8517047,36.372874,04-05-2021 18:48:26,04-05-2021 19:48:34,CTD,40_CTD_MoC_19
-9.0351749,36.604216,-8.9524611,36.7058975,04-05-2021 21:14:53,04-05-2021 22:08:38,gravity_corer,41_GC_20
-9.5528722,37.4141388,-9.5479167,37.4161365,05-05-2021 05:17:19,05-05-2021 06:35:35,CTD,42_CTD_MoC_21
-9.5543636,37.4157034,-9.5536673,37.4166448,05-05-2021 06:57:34,05-05-2021 07:57:05,gravity_corer,43_GC_21
-9.6419252,37.457727,-9.6374859,37.460267,05-05-2021 08:58:18,05-05-2021 10:30:57,CTD,45_CTD_MoC_22
-9.7048184,38.3615953,-9.7007854,38.3633694,06-05-2021 01:24:25,06-05-2021 03:07:27,CTD_ROS,47_CTD_MoC_24
-10.2235617,39.1245127,-10.2227707,39.1248755,06-05-2021 09:34:58,06-05-2021 10:22:27,CTD_UND,49_CTD_MoC_25
-10.2251994,39.124799,-10.2237922,39.1256925,06-05-2021 10:53:32,06-05-2021 11:38:23,XBT,50_MC_25
-10.2681429,38.3569302,-9.698669,39.1248193,06-05-2021 12:11:19,06-05-2021 13:07:42,DRE,51_CTD_MoC_26
-9.7043194,38.3615953,-9.7012576,38.3625441,06-05-2021 13:20:45,06-05-2021 14:09:08,DRE,52_MC_26
-9.8047058,38.3995456,-9.7199061,38.6108908,06-05-2021 15:35:02,06-05-2021 17:07:25,DRE,53_CTD_MoC_27
-9.850351,38.6414021,-9.8168625,38.8414728,06-05-2021 17:18:44,06-05-2021 18:39:22,XBT,54_MC_27
-10.2230353,38.999708,-9.9904287,39.1249218,06-05-2021 19:57:41,06-05-2021 21:39:03,CTD,55_CTD_MoC_28
-10.2250986,39.1243325,-10.2230739,39.1256117,06-05-2021 21:56:54,06-05-2021 23:37:21,XBT,56_MC_28
-10.3482858,39.5936943,-10.3462093,39.5952077,07-05-2021 03:34:10,07-05-2021 07:03:40,CTD,58_CTD-MoC_28BIS
