First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
-4.4175667,36.5781833,-3.5440332,36.7222328,2024-07-03 23:44:00,2024-08-03 00:01:00,TRA,L000
-3.5870843,36.6666735,-3.5620477,36.7106738,2024-08-03 00:02:00,2024-08-03 01:14:00,TRA,L001
-3.5650617,36.6586507,-3.5580423,36.6603058,2024-08-03 01:20:00,2024-08-03 01:30:00,MOC,LT_01-02
-3.7019217,36.6599702,-3.5697645,36.720856,2024-08-03 01:31:00,2024-08-03 03:00:00,MOC,L002
-3.7167275,36.7134557,-3.6357702,36.71459,2024-08-03 03:12:00,2024-08-03 04:01:00,SBP,L003
-3.6277397,36.6760478,-3.5603683,36.707255,2024-08-03 04:08:00,2024-08-03 04:55:00,OBS,L004
-3.551486,36.6705138,-3.5501397,36.6713727,2024-08-03 04:59:00,2024-08-03 05:02:00,OBS,LT-AUV1
-3.5868423,36.7109445,-3.5867857,36.7109808,2024-08-03 07:01:00,2024-08-03 11:09:00,AUV,dive_01
-3.7191012,36.6849997,-3.6176128,36.7222328,2024-08-03 14:07:00,2024-08-03 16:17:00,SBP,L005
-3.6145995,36.6701305,-3.5440332,36.7007275,2024-08-03 16:17:00,2024-08-03 17:44:00,ROV,L006
-3.586844,36.706768,-3.583015,36.7109792,2024-08-03 17:55:00,2024-08-03 19:29:00,SBP,L007
-4.417686,36.7146003,-4.4161068,36.7173118,2024-09-03 00:10:00,2024-10-03 11:00:00,not_defined,stay_at_Malaga_port
-4.4176693,36.7172965,-4.4176672,36.7173003,2024-10-03 13:52:00,2024-10-03 13:58:00,SBP,LT_07-08
-4.4176775,36.7172975,-4.4176668,36.7173033,2024-10-03 13:58:00,2024-10-03 14:24:00,SBP,L008
-4.4176778,36.7172998,-4.4176678,36.7173045,2024-10-03 14:30:00,2024-10-03 15:00:00,CTD_ROS_LADCP,L009
-4.417677,36.7172953,-4.4176665,36.7173027,2024-10-03 15:05:00,2024-10-03 16:18:00,CTD_ROS_LADCP,L010
-4.4176765,36.7172893,-4.417665,36.7172973,2024-10-03 16:29:00,2024-10-03 17:42:00,CTD_ROS_LADCP,L011
-4.417673,36.717294,-4.417668,36.7172973,2024-10-03 17:43:00,2024-10-03 17:49:00,SBP,LT_011-012
-4.4176747,36.7172892,-4.4176635,36.7173013,2024-10-03 18:00:00,2024-10-03 20:31:00,SBP,L012
-4.4176675,36.717296,-4.417662,36.7173007,2024-10-03 20:40:00,2024-10-03 20:49:00,SBP,LT_012-013
-4.4176733,36.717288,-4.417662,36.7172975,2024-10-03 20:50:00,2024-10-03 21:36:00,CTD_ROS_LADCP,L013
-4.4176738,36.7172932,-4.417664,36.7173007,2024-10-03 21:48:00,2024-10-03 22:31:00,CTD_ROS_LADCP,L014
-4.4176718,36.7172933,-4.417665,36.7172975,2024-10-03 22:35:00,2024-10-03 22:41:00,CTD_ROS_LADCP,LT_014-015
-4.4176713,36.6758498,-4.3940705,36.717296,2024-10-03 22:44:00,2024-10-03 23:23:00,SBP,L015
-4.3698175,36.654375,-4.3622417,36.6553542,2024-10-03 23:30:00,2024-10-03 23:34:00,SBP,LT_015-016
-4.3462468,36.6376705,-3.4984522,36.7376388,2024-10-03 23:36:00,2024-11-03 00:16:00,SBP,L016
-3.5427153,36.6696473,-3.5291712,36.6957882,2024-11-03 00:26:00,2024-11-03 01:06:00,SBP,L017
-3.53791,36.69542,-3.5317833,36.7050722,2024-11-03 01:09:00,2024-11-03 01:18:00,SBP,LT_017-018
-3.5557048,36.6530208,-3.5256685,36.7056922,2024-11-03 01:23:00,2024-11-03 02:03:00,SBP,L018
-3.5463837,36.6476997,-3.5183983,36.6973328,2024-11-03 02:13:00,2024-11-03 02:53:00,SBP,L019
-3.5360128,36.6459105,-3.5076103,36.6939557,2024-11-03 03:06:00,2024-11-03 03:41:00,SBP,L020
-3.5275048,36.6389235,-3.4992177,36.688979,2024-11-03 03:49:00,2024-11-03 04:28:00,SBP,L021
-3.5527568,36.6916578,-3.500761,36.6921848,2024-11-03 04:31:00,2024-11-03 05:00:00,SBP,L022
-3.5946982,36.6885888,-3.5568948,36.6962957,2024-11-03 05:20:00,2024-11-03 05:39:00,SBP,LT022-AUV_2
-3.5642338,36.705446,-3.5641558,36.7054872,2024-11-03 08:15:00,2024-11-03 11:15:00,AUV,dive_02
-3.5372812,36.6376705,-3.4984522,36.6922388,2024-11-03 15:20:00,2024-11-03 16:47:00,SBP,L023
-3.5947483,36.6885888,-3.5550463,36.7045752,2024-11-03 17:07:00,2024-11-03 17:51:00,SBP,L024
-3.5642258,36.7054338,-3.56416,36.7054945,2024-11-03 18:13:00,2024-11-03 20:00:00,SBP,L025
-3.5313215,36.6783115,-3.4728573,36.6809692,2024-12-03 05:19:00,2024-12-03 14:15:00,AUV,dive_03
-3.5305225,36.6798697,-3.5304885,36.6806428,2024-12-03 14:45:00,2024-12-03 15:09:00,SBP,L026
-3.5305077,36.6806377,-3.5304907,36.68155,2024-12-03 15:12:00,2024-12-03 15:42:00,SBP,L027
-3.4728562,36.6674528,-3.4727562,36.6675528,2024-12-03 20:00:00,2024-12-03 20:00:00,ROV,recovery_SMD_DV02_C01
-3.472859,36.6674517,-3.472759,36.6675517,2024-12-03 20:08:00,2024-12-03 20:08:00,ROV,recovery_SMD_DV02_B01
-3.4759133,36.6471598,-3.4758133,36.6472598,2024-12-03 22:13:00,2024-12-03 22:13:00,ROV,recovery_SMD_DV02_C02
-3.4797508,36.6387007,-3.4796508,36.6388007,2024-12-03 22:46:00,2024-12-03 22:46:00,ROV,recovery_SMD_DV02_C03
-3.4797465,36.6386877,-3.4796465,36.6387877,2024-12-03 23:14:00,2024-12-03 23:14:00,ROV,recovery_SMD_DV02_B02
-3.4797492,36.6386868,-3.4796492,36.6387868,2024-12-03 23:23:00,2024-12-03 23:23:00,ROV,recovery_SMD_DV02_A01
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,ROV,recovery_SMD_DV02_C04
,,,,,,,
