First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
-62.966,-60.6146088,-62.966,-60.6146088,2024-03-13 18:40:00,2024-03-13 18:40:00,CTD,DICHOSO_01_002_101
-62.9560488,-60.6302725,-62.9560488,-60.6302725,2024-03-13 21:30:00,2024-03-13 21:30:00,CTD,DICHOSO_01_003_107
-62.9620671,-60.6455506,-62.9620671,-60.6455506,2024-03-13 22:35:00,2024-03-13 22:35:00,CTD,DICHOSO_01_004_113
-62.9687662,-60.6620097,-62.9687662,-60.6620097,2024-03-13 23:57:00,2024-03-13 23:57:00,CTD,DICHOSO_01_005_119
-62.9643719,-60.6908829,-62.9643719,-60.6908829,2024-03-14 11:19:00,2024-03-14 11:19:00,CTD,DICHOSO_01_006_124
-62.9586164,-60.6731653,-62.9586164,-60.6731653,2024-03-14 12:24:00,2024-03-14 12:24:00,CTD,DICHOSO_01_007_129
-62.9524308,-60.6561312,-62.9524308,-60.6561312,2024-03-14 13:33:00,2024-03-14 13:33:00,CTD,DICHOSO_01_008_135
-62.9463927,-60.6365246,-62.9463927,-60.6365246,2024-03-14 14:42:00,2024-03-14 14:42:00,CTD,DICHOSO_01_009_141
-62.9416868,-60.6197513,-62.9416868,-60.6197513,2024-03-14 15:52:00,2024-03-14 15:52:00,CTD,DICHOSO_01_010_147
-62.9365926,-60.6476711,-62.9365926,-60.6476711,2024-03-14 18:14:00,2024-03-14 18:14:00,CTD,DICHOSO_01_011_153
-62.9754203,-60.6412831,-62.9754203,-60.6412831,2024-03-15 12:51:00,2024-03-15 12:51:00,CTD,DICHOSO_01_012_159
-62.9806844,-60.6119544,-62.9806844,-60.6119544,2024-03-15 14:00:00,2024-03-15 14:00:00,CTD,DICHOSO_01_013_164
-62.986875,-60.5902799,-62.986875,-60.5902799,2024-03-15 15:00:00,2024-03-15 15:00:00,CTD,DICHOSO_01_014_170
-62.9689663,-60.6961212,-62.9689663,-60.6961212,2024-03-15 16:00:00,2024-03-15 16:00:00,CTD,DICHOSO_01_015_175
-63.0063228,-60.5168218,-63.0063228,-60.5168218,2024-03-15 17:28:00,2024-03-15 17:28:00,CTD,DICHOSO_01_016_180
