First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
-4.4175667,36.5781833,-3.5440332,36.7222328,"""07-03-2024 23:44:00""","""08-03-2024 00:01:00""","""SBP""","""L000"""
-3.5870843,36.6666735,-3.5620477,36.7106738,"""08-03-2024 00:02:00""","""08-03-2024 01:14:00""","""SBP""","""L001"""
-3.5650617,36.6586507,-3.5580423,36.6603058,"""08-03-2024 01:20:00""","""08-03-2024 01:30:00""","""SBP""","""LT_01-02"""
-3.7019217,36.6599702,-3.5697645,36.720856,"""08-03-2024 01:31:00""","""08-03-2024 03:00:00""","""SBP""","""L002"""
-3.7167275,36.7134557,-3.6357702,36.71459,"""08-03-2024 03:12:00""","""08-03-2024 04:01:00""","""SBP""","""L003"""
-3.6277397,36.6760478,-3.5603683,36.707255,"""08-03-2024 04:08:00""","""08-03-2024 04:55:00""","""SBP""","""L004"""
-3.551486,36.6705138,-3.5501397,36.6713727,"""08-03-2024 04:59:00""","""08-03-2024 05:02:00""","""SBP""","""LT-AUV1"""
-3.5868423,36.7109445,-3.5867857,36.7109808,"""08-03-2024 07:01:00""","""08-03-2024 11:09:00""","""AUV""","""dive_01"""
-3.7191012,36.6849997,-3.6176128,36.7222328,"""08-03-2024 14:07:00""","""08-03-2024 16:17:00""","""SBP""","""L005"""
-3.6145995,36.6701305,-3.5440332,36.7007275,"""08-03-2024 16:17:00""","""08-03-2024 17:44:00""","""SBP""","""L006"""
-3.586844,36.706768,-3.583015,36.7109792,"""08-03-2024 17:55:00""","""08-03-2024 19:29:00""","""SBP""","""L007"""
-4.417686,36.7146003,-4.4161068,36.7173118,"""09-03-2024 00:10:00""","""10-03-2024 11:00:00""","""not_defined""","""stay_at_Malaga_port"""
-4.4176693,36.7172965,-4.4176672,36.7173003,"""10-03-2024 13:52:00""","""10-03-2024 13:58:00""","""SBP""","""LT_07-08"""
-4.4176775,36.7172975,-4.4176668,36.7173033,"""10-03-2024 13:58:00""","""10-03-2024 14:24:00""","""SBP""","""L008"""
-4.4176778,36.7172998,-4.4176678,36.7173045,"""10-03-2024 14:30:00""","""10-03-2024 15:00:00""","""SBP""","""L009"""
-4.417677,36.7172953,-4.4176665,36.7173027,"""10-03-2024 15:05:00""","""10-03-2024 16:18:00""","""SBP""","""L010"""
-4.4176765,36.7172893,-4.417665,36.7172973,"""10-03-2024 16:29:00""","""10-03-2024 17:42:00""","""SBP""","""L011"""
-4.417673,36.717294,-4.417668,36.7172973,"""10-03-2024 17:43:00""","""10-03-2024 17:49:00""","""SBP""","""LT_011-012"""
-4.4176747,36.7172892,-4.4176635,36.7173013,"""10-03-2024 18:00:00""","""10-03-2024 20:31:00""","""SBP""","""L012"""
-4.4176675,36.717296,-4.417662,36.7173007,"""10-03-2024 20:40:00""","""10-03-2024 20:49:00""","""SBP""","""LT_012-013"""
-4.4176733,36.717288,-4.417662,36.7172975,"""10-03-2024 20:50:00""","""10-03-2024 21:36:00""","""SBP""","""L013"""
-4.4176738,36.7172932,-4.417664,36.7173007,"""10-03-2024 21:48:00""","""10-03-2024 22:31:00""","""SBP""","""L014"""
-4.4176718,36.7172933,-4.417665,36.7172975,"""10-03-2024 22:35:00""","""10-03-2024 22:41:00""","""SBP""","""LT_014-015"""
-4.4176713,36.6758498,-4.3940705,36.717296,"""10-03-2024 22:44:00""","""10-03-2024 23:23:00""","""SBP""","""L015"""
-4.3698175,36.654375,-4.3622417,36.6553542,"""10-03-2024 23:30:00""","""10-03-2024 23:34:00""","""SBP""","""LT_015-016"""
-4.3462468,36.6376705,-3.4984522,36.7376388,"""10-03-2024 23:36:00""","""11-03-2024 00:16:00""","""SBP""","""L016"""
-3.5427153,36.6696473,-3.5291712,36.6957882,"""11-03-2024 00:26:00""","""11-03-2024 01:06:00""","""SBP""","""L017"""
-3.53791,36.69542,-3.5317833,36.7050722,"""11-03-2024 01:09:00""","""11-03-2024 01:18:00""","""SBP""","""LT_017-018"""
-3.5557048,36.6530208,-3.5256685,36.7056922,"""11-03-2024 01:23:00""","""11-03-2024 02:03:00""","""SBP""","""L018"""
-3.5463837,36.6476997,-3.5183983,36.6973328,"""11-03-2024 02:13:00""","""11-03-2024 02:53:00""","""SBP""","""L019"""
-3.5360128,36.6459105,-3.5076103,36.6939557,"""11-03-2024 03:06:00""","""11-03-2024 03:41:00""","""SBP""","""L020"""
-3.5275048,36.6389235,-3.4992177,36.688979,"""11-03-2024 03:49:00""","""11-03-2024 04:28:00""","""SBP""","""L021"""
-3.5527568,36.6916578,-3.500761,36.6921848,"""11-03-2024 04:31:00""","""11-03-2024 05:00:00""","""SBP""","""L022"""
