First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
-68.04866,-52.7708233,-68.04866,-52.7708233,2025-01-14 00:24:00,2025-02-14 00:30:00,CTD_ROS_LADCP,Perfil CTD
-60.6727017,-62.9730567,-60.6727017,-62.9730567,2025-02-10 00:08:00,2025-02-10 00:39:00,NET,Pesca de Zooplancton Multinet
-60.6205433,-62.94123,-60.6205433,-62.94123,2025-02-10 12:38:00,2025-02-10 12:49:00,CTD_ROS_LADCP,Perfil CTD
-60.636775,-62.9462317,-60.636775,-62.9462317,2025-02-10 13:55:00,2025-02-10 14:07:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.6567217,-62.9524217,-60.6567217,-62.9524217,2025-02-10 15:20:00,2025-02-10 15:30:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.67279,-62.958865,-60.67279,-62.958865,2025-02-10 16:05:00,2025-02-10 16:16:00,CTD_ROS_LADCP,Perfil CTD
-60.6898183,-62.9640883,-60.6898183,-62.9640883,2025-02-10 16:55:00,2025-02-10 17:03:00,CTD_ROS_LADCP,Perfil CTD
-60.6958183,-62.9686583,-60.6958183,-62.9686583,2025-02-10 18:06:00,2025-02-10 18:14:00,CTD_ROS_LADCP,Perfil CTD
-60.70024,-62.9618833,-60.70024,-62.9618833,2025-02-10 19:03:00,2025-02-10 19:36:00,NET,Pesca de Zooplancton Multinet
-60.6792867,-62.942885,-60.6792867,-62.942885,2025-02-10 23:30:00,2025-02-10 00:08:00,NET,Pesca de Zooplancton Multinet
-60.6184183,-62.9372367,-60.6184183,-62.9372367,2025-02-11 11:33:00,2025-02-11 12:11:00,NET,Pesca de Zooplancton Multinet
-60.6032433,-62.967945,-60.6032433,-62.967945,2025-02-11 12:11:00,2025-02-11 12:41:00,NET,Pesca de Zooplancton Multinet
-60.5716117,-62.990515,-60.5716117,-62.990515,2025-02-11 13:39:00,2025-02-11 13:50:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.6118767,-62.9808883,-60.6118767,-62.9808883,2025-02-11 15:45:00,2025-02-11 15:55:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.6140783,-62.9662967,-60.6140783,-62.9662967,2025-02-11 17:10:00,2025-02-11 17:21:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.6286917,-62.95637,-60.6286917,-62.95637,2025-02-11 18:55:00,2025-02-11 19:07:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.6367217,-62.9468383,-60.6367217,-62.9468383,2025-02-11 20:04:00,2025-02-11 20:17:00,CTD_ROS_LADCP,Perfil CTD y recogida de agua con roseta
-60.6839517,-62.96228,-60.6839517,-62.96228,2025-02-12 00:28:00,2025-02-12 00:55:00,NET,Pesca de Zooplancton Multinet
-60.5955083,-62.97724,-60.5955083,-62.97724,2025-02-13 23:40:00,2025-02-13 23:47:00,CTD_ROS_LADCP,Perfil CTD
-60.6139867,-62.9782483,-60.6139867,-62.9782483,2025-02-14 00:24:00,2025-02-14 00:30:00,CTD_ROS_LADCP,Perfil de CTD
