First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
-4.4175667,36.5781833,-3.5440332,36.7222328,07/03/2024 23:44,08/03/2024 0:01,SBP,L000
-3.5870843,36.6666735,-3.5620477,36.7106738,08/03/2024 0:02,08/03/2024 1:14,SBP,L001
-3.5650617,36.6586507,-3.5580423,36.6603058,08/03/2024 1:20,08/03/2024 1:30,SBP,LT_01-02
-3.7019217,36.6599702,-3.5697645,36.720856,08/03/2024 1:31,08/03/2024 3:00,SBP,L002
-3.7167275,36.7134557,-3.6357702,36.71459,08/03/2024 3:12,08/03/2024 4:01,SBP,L003
-3.6277397,36.6760478,-3.5603683,36.707255,08/03/2024 4:08,08/03/2024 4:55,SBP,L004
-3.551486,36.6705138,-3.5501397,36.6713727,08/03/2024 4:59,08/03/2024 5:02,SBP,LT-AUV1
-3.5868423,36.7109445,-3.5867857,36.7109808,08/03/2024 7:01,08/03/2024 11:09,auv,dive_01
-3.7191012,36.6849997,-3.6176128,36.7222328,08/03/2024 14:07,08/03/2024 16:17,SBP,L005
-3.6145995,36.6701305,-3.5440332,36.7007275,08/03/2024 16:17,08/03/2024 17:44,SBP,L006
-3.586844,36.706768,-3.583015,36.7109792,08/03/2024 17:55,08/03/2024 19:29,SBP,L007
-4.417686,36.7146003,-4.4161068,36.7173118,09/03/2024 0:10,10/03/2024 11:00,not_defined,stay_at_Malaga_port
-4.4176693,36.7172965,-4.4176672,36.7173003,10/03/2024 13:52,10/03/2024 13:58,SBP,LT_07-08
-4.4176775,36.7172975,-4.4176668,36.7173033,10/03/2024 13:58,10/03/2024 14:24,SBP,L008
-4.4176778,36.7172998,-4.4176678,36.7173045,10/03/2024 14:30,10/03/2024 15:00,SBP,L009
-4.417677,36.7172953,-4.4176665,36.7173027,10/03/2024 15:05,10/03/2024 16:18,SBP,L010
-4.4176765,36.7172893,-4.417665,36.7172973,10/03/2024 16:29,10/03/2024 17:42,SBP,L011
-4.417673,36.717294,-4.417668,36.7172973,10/03/2024 17:43,10/03/2024 17:49,SBP,LT_011-012
-4.4176747,36.7172892,-4.4176635,36.7173013,10/03/2024 18:00,10/03/2024 20:31,SBP,L012
-4.4176675,36.717296,-4.417662,36.7173007,10/03/2024 20:40,10/03/2024 20:49,SBP,LT_012-013
-4.4176733,36.717288,-4.417662,36.7172975,10/03/2024 20:50,10/03/2024 21:36,SBP,L013
-4.4176738,36.7172932,-4.417664,36.7173007,10/03/2024 21:48,10/03/2024 22:31,SBP,L014
-4.4176718,36.7172933,-4.417665,36.7172975,10/03/2024 22:35,10/03/2024 22:41,SBP,LT_014-015
-4.4176713,36.6758498,-4.3940705,36.717296,10/03/2024 22:44,10/03/2024 23:23,SBP,L015
-4.3698175,36.654375,-4.3622417,36.6553542,10/03/2024 23:30,10/03/2024 23:34,SBP,LT_015-016
-4.3462468,36.6376705,-3.4984522,36.7376388,10/03/2024 23:36,11/03/2024 0:16,SBP,L016
-3.5427153,36.6696473,-3.5291712,36.6957882,11/03/2024 0:26,11/03/2024 1:06,SBP,L017
-3.53791,36.69542,-3.5317833,36.7050722,11/03/2024 1:09,11/03/2024 1:18,SBP,LT_017-018
-3.5557048,36.6530208,-3.5256685,36.7056922,11/03/2024 1:23,11/03/2024 2:03,SBP,L018
-3.5463837,36.6476997,-3.5183983,36.6973328,11/03/2024 2:13,11/03/2024 2:53,SBP,L019
-3.5360128,36.6459105,-3.5076103,36.6939557,11/03/2024 3:06,11/03/2024 3:41,SBP,L020
-3.5275048,36.6389235,-3.4992177,36.688979,11/03/2024 3:49,11/03/2024 4:28,SBP,L021
-3.5527568,36.6916578,-3.500761,36.6921848,11/03/2024 4:31,11/03/2024 5:00,SBP,L022
-3.5946982,36.6885888,-3.5568948,36.6962957,11/03/2024 5:20,11/03/2024 5:39,SBP,LT022-AUV_2
-3.5642338,36.705446,-3.5641558,36.7054872,11/03/2024 8:15,11/03/2024 11:15,auv,dive_02
-3.5372812,36.6376705,-3.4984522,36.6922388,11/03/2024 15:20,11/03/2024 16:47,SBP,L023
-3.5947483,36.6885888,-3.5550463,36.7045752,11/03/2024 17:07,11/03/2024 17:51,SBP,L024
-3.5642258,36.7054338,-3.56416,36.7054945,11/03/2024 18:13,11/03/2024 20:00,SBP,L025
-3.757223,36.6600817,-3.5231805,36.7240965,11/03/2024 22:58,12/03/2024 4:07,rov,dive_01
-3.4785067,36.636959,-3.4784067,36.637059,12/03/2024 0:25,12/03/2024 0:25,rov,recovery_SMD_DV01_C01
-3.5316045,36.6779125,-3.5315045,36.6780125,12/03/2024 1:57,12/03/2024 1:57,rov,recovery_SMD_DV01_S01
-3.5305012,36.6810632,-3.5304012,36.6811632,12/03/2024 3:26,12/03/2024 3:26,rov,recovery_SMD_DV01_C02
-3.5313215,36.6783115,-3.4728573,36.6809692,12/03/2024 5:19,12/03/2024 14:15,auv,dive_03
-3.5305225,36.6798697,-3.5304885,36.6806428,12/03/2024 14:45,12/03/2024 15:09,SBP,L026
-3.5305077,36.6806377,-3.5304907,36.68155,12/03/2024 15:12,12/03/2024 15:42,SBP,L027
-3.522451,36.6304952,-3.469173,36.710842,12/03/2024 19:45,13/03/2024 2:50,rov,dive_02
-3.4728562,36.6674528,-3.4727562,36.6675528,12/03/2024 20:00,12/03/2024 20:00,rov,recovery_SMD_DV02_C01
-3.472859,36.6674517,-3.472759,36.6675517,12/03/2024 20:08,12/03/2024 20:08,rov,recovery_SMD_DV02_B01
-3.4759133,36.6471598,-3.4758133,36.6472598,12/03/2024 22:13,12/03/2024 22:13,rov,recovery_SMD_DV02_C02
-3.4797508,36.6387007,-3.4796508,36.6388007,12/03/2024 22:46,12/03/2024 22:46,rov,recovery_SMD_DV02_C03
-3.4797465,36.6386877,-3.4796465,36.6387877,12/03/2024 23:14,12/03/2024 23:14,rov,recovery_SMD_DV02_B02
-3.4797492,36.6386868,-3.4796492,36.6387868,12/03/2024 23:23,12/03/2024 23:23,rov,recovery_SMD_DV02_A01
-3.4797398,36.6386967,-3.4796398,36.6387967,12/03/2024 23:59,12/03/2024 23:59,rov,recovery_SMD_DV02_C04
-3.474698,36.6753132,-3.474598,36.6754132,13/03/2024 1:56,13/03/2024 1:56,rov,recovery_SMD_DV02_C05
-3.6193745,36.677826,-3.6103897,36.682107,08/03/2024 13:57,08/03/2024 14:05,SBP,LT005
-3.4758963,36.5891495,-3.4695673,36.6638622,13/03/2024 2:48,13/03/2024 3:34,SBP,L028
-3.465142,36.5814697,-3.4545542,36.5933977,13/03/2024 4:48,13/03/2024 11:46,auv,dive_04
-3.4747003,36.6753122,-3.4746845,36.6753273,13/03/2024 13:15,13/03/2024 14:05,SBP,L029
-3.4651177,36.5814808,-3.4650177,36.5815808,13/03/2024 16:19,13/03/2024 16:19,rov,recovery_SMD_DV03_C01
-3.4651213,36.5814883,-3.4650213,36.5815883,13/03/2024 17:08,13/03/2024 17:08,rov,SMD_DV03_C02
-3.4651242,36.581481,-3.4650242,36.581581,13/03/2024 20:37,13/03/2024 20:37,rov,SMD_DV03_C03
-3.4546018,36.5933788,-3.4545018,36.5934788,13/03/2024 22:59,13/03/2024 22:59,rov,SMD_DV03_B01
-3.4546145,36.5933818,-3.4545145,36.5934818,13/03/2024 23:11,13/03/2024 23:11,rov,SMD_DV03_C04
-3.4546118,36.593374,-3.4545118,36.593474,13/03/2024 23:40,13/03/2024 23:40,rov,SMD_DV03_B02
-3.4546063,36.5933745,-3.4545063,36.5934745,13/03/2024 23:52,13/03/2024 23:52,rov,SMD_DV03_B03
-3.465142,36.5814697,-3.4545542,36.5933977,13/03/2024 15:56,13/03/2024 23:56,rov,dive_03
-3.4918358,36.6152835,-3.4799168,36.6299643,14/03/2024 1:59,14/03/2024 2:26,sonda_multihaz,multibean_calibration
-3.4918358,36.6152835,-3.4887493,36.616326,14/03/2024 2:10,14/03/2024 2:15,sonda_multihaz,AVSP_01
-3.4813778,36.5364245,-3.4797352,36.6384828,14/03/2024 11:57,14/03/2024 13:09,SBP,L030
-3.509954,36.5409523,-3.485691,36.5417833,14/03/2024 3:52,14/03/2024 11:30,auv,Dive_05
-3.4813778,36.5364245,-3.4801222,36.6399413,14/03/2024 11:57,14/03/2024 13:09,SBP,L030_rumbo_al_rov
-3.4837497,36.6237527,-3.4836497,36.6238527,14/03/2024 14:05,14/03/2024 14:05,rov,Rov_deployment
-3.4799393,36.6300653,-3.4798393,36.6301653,14/03/2024 14:27,14/03/2024 14:27,rov,Start_of_rov_dive_04
